studytime,absences,failures,famrel,freetime,goout,decision
0.3333,0.08,0.0,0.75,0.5,0.75,Normal
0.3333,0.0533,0.0,1.0,0.5,0.5,Normal
0.3333,0.1333,1.0,0.75,0.5,0.25,Waspada
0.6667,0.0267,0.0,0.5,0.25,0.25,Normal
0.3333,0.0533,0.0,0.75,0.5,0.25,Normal
0.3333,0.1333,0.0,1.0,0.75,0.25,Normal
0.3333,0.0,0.0,0.75,0.75,0.75,Normal
0.3333,0.08,0.0,0.75,0.0,0.75,Normal
0.3333,0.0,0.0,0.75,0.25,0.25,Normal
0.3333,0.0,0.0,1.0,1.0,0.0,Normal
0.3333,0.0,0.0,0.5,0.5,0.5,Normal
0.6667,0.0533,0.0,1.0,0.25,0.25,Normal
0.0,0.0267,0.0,0.75,0.5,0.5,Normal
0.3333,0.0267,0.0,1.0,0.75,0.5,Normal
0.6667,0.0,0.0,0.75,1.0,0.25,Normal
0.0,0.0533,0.0,0.75,0.75,0.75,Normal
0.6667,0.08,0.0,0.5,0.25,0.5,Normal
0.3333,0.0533,0.0,1.0,0.5,0.25,Normal
0.0,0.2133,1.0,1.0,1.0,1.0,Waspada
0.0,0.0533,0.0,0.5,0.0,0.5,Normal
0.3333,0.0,0.0,0.75,0.75,0.0,Normal
0.0,0.0,0.0,1.0,0.75,0.25,Normal
0.3333,0.0267,0.0,0.75,1.0,0.0,Normal
0.3333,0.0,0.0,1.0,0.75,0.75,Waspada
0.6667,0.0267,0.0,0.75,0.5,0.25,Normal
0.0,0.1867,0.6667,0.0,0.25,0.25,Normal
0.0,0.0267,0.0,0.75,0.25,0.25,Normal
0.0,0.0533,0.0,0.25,0.25,0.75,Waspada
0.3333,0.0533,0.0,1.0,0.5,0.5,Normal
0.3333,0.2133,0.0,0.75,0.75,1.0,Bahaya
0.3333,0.0,0.0,1.0,0.75,0.25,Waspada
0.3333,0.0,0.0,0.75,0.5,0.0,Normal
0.3333,0.0,0.0,0.75,1.0,0.25,Normal
0.3333,0.0,0.0,1.0,0.5,0.25,Normal
0.0,0.0,0.0,1.0,0.75,0.5,Normal
0.0,0.0,0.0,0.5,1.0,0.0,Normal
0.6667,0.0267,0.0,1.0,0.75,0.5,Normal
0.6667,0.0933,0.0,0.25,0.75,0.5,Normal
0.6667,0.0267,0.0,0.75,0.5,0.25,Normal
0.0,0.1067,0.0,0.75,0.5,0.0,Normal
0.3333,0.3333,0.3333,0.5,0.5,0.5,Normal
0.0,0.1067,0.0,1.0,0.75,0.5,Waspada
0.3333,0.0267,0.0,0.75,0.5,0.5,Normal
0.0,0.0,0.0,1.0,0.75,0.0,Normal
0.3333,0.1867,0.3333,0.75,0.5,0.5,Normal
0.3333,0.1067,0.0,1.0,0.25,0.25,Normal
0.3333,0.16,0.0,0.25,0.5,1.0,Waspada
1.0,0.0533,0.0,0.75,0.25,0.25,Normal
0.3333,0.0267,0.0,0.75,0.5,0.5,Normal
0.3333,0.0267,0.3333,0.75,0.75,0.75,Normal
0.3333,0.0267,0.0,0.75,0.5,0.5,Waspada
0.3333,0.0267,0.0,0.75,0.5,0.5,Normal
0.0,0.08,0.3333,1.0,1.0,1.0,Waspada
0.0,0.0,0.0,0.5,0.5,0.75,Waspada
0.0,0.08,0.0,1.0,0.5,0.75,Bahaya
0.3333,0.1067,0.0,1.0,0.5,0.75,Normal
0.3333,0.0,0.0,0.75,0.5,0.25,Normal
0.3333,0.0533,0.0,0.5,0.25,0.25,Normal
0.3333,0.0267,0.0,0.75,0.5,0.25,Normal
0.3333,0.0267,0.0,0.75,0.25,0.5,Normal
0.3333,0.08,0.0,0.25,0.75,0.75,Waspada
0.0,0.08,0.0,1.0,1.0,1.0,Bahaya
0.3333,0.0533,0.0,0.75,0.75,0.5,Normal
0.6667,0.0267,0.0,0.5,0.75,0.75,Waspada
0.3333,0.0,0.0,0.75,0.75,0.75,Waspada
0.3333,0.0267,0.0,1.0,0.75,0.5,Normal
1.0,0.0533,0.0,0.0,0.5,0.5,Bahaya
1.0,0.0533,0.0,0.75,0.5,0.5,Normal
0.3333,0.0267,0.0,0.75,0.0,0.5,Normal
1.0,0.16,0.0,0.75,0.75,0.25,Waspada
1.0,0.0,0.0,0.75,0.5,0.25,Normal
1.0,0.0,0.0,0.5,0.5,0.5,Normal
0.3333,0.0267,0.6667,0.5,0.5,0.75,Waspada
0.0,0.0267,0.0,1.0,0.5,0.25,Normal
0.3333,0.72,0.0,0.75,0.5,0.5,Waspada
0.3333,0.08,0.0,0.75,0.5,0.5,Waspada
1.0,0.1067,0.0,0.5,0.75,0.5,Normal
1.0,0.0,0.0,1.0,0.25,0.5,Normal
0.0,0.0267,1.0,0.75,1.0,0.0,Normal
0.3333,0.16,0.0,0.25,0.75,0.5,Normal
0.0,0.0267,0.0,0.5,0.25,0.25,Normal
0.6667,0.0533,0.0,1.0,0.5,0.25,Normal
0.3333,0.1333,0.0,0.75,0.75,0.75,Normal
0.3333,0.0533,0.0,1.0,0.5,0.5,Normal
0.3333,0.0267,0.0,0.75,0.5,0.25,Waspada
0.3333,0.08,0.6667,0.75,0.75,0.75,Waspada
0.3333,0.0533,0.0,0.75,0.5,0.75,Normal
0.6667,0.0533,0.0,1.0,0.5,0.5,Normal
0.3333,0.16,0.3333,0.75,0.75,0.25,Normal
0.3333,0.24,0.0,0.75,0.0,0.5,Bahaya
0.6667,0.0,0.0,0.75,0.5,0.5,Normal
0.0,0.0533,0.0,0.75,1.0,1.0,Normal
0.3333,0.0533,0.0,0.5,0.5,0.5,Waspada
0.3333,0.0,0.0,1.0,0.5,0.5,Normal
1.0,0.08,0.0,0.75,0.5,0.75,Normal
1.0,0.0267,0.3333,0.5,0.0,0.25,Normal
0.0,0.0267,0.0,0.5,0.5,0.5,Normal
0.3333,0.0267,0.0,0.75,0.5,1.0,Normal
0.0,0.08,0.0,1.0,0.5,0.75,Normal
0.6667,0.0,0.0,1.0,0.5,1.0,Normal
0.0,0.1867,0.0,0.75,1.0,1.0,Bahaya
0.6667,0.0,0.0,0.75,0.75,0.5,Normal
0.0,0.0533,0.0,1.0,0.5,0.5,Normal
0.3333,0.3467,0.0,0.75,0.5,1.0,Normal
0.3333,0.0,0.0,1.0,0.75,0.75,Normal
1.0,0.1333,0.0,0.75,0.5,0.5,Normal
1.0,0.1067,0.0,1.0,0.0,0.25,Normal
0.6667,0.0267,0.0,1.0,0.5,0.5,Normal
1.0,0.08,0.0,0.0,0.5,1.0,Bahaya
0.6667,0.0533,0.0,1.0,0.75,1.0,Normal
0.0,0.08,0.0,1.0,1.0,0.5,Normal
0.6667,0.0,0.3333,0.75,0.0,0.25,Normal
0.3333,0.08,0.3333,0.5,0.0,0.25,Normal
0.0,0.1333,0.0,0.5,1.0,0.25,Normal
0.3333,0.1067,0.0,1.0,0.75,0.25,Normal
0.3333,0.0267,0.0,1.0,0.75,0.75,Normal
0.3333,0.0267,0.0,0.75,0.75,0.5,Normal
0.0,0.0,0.0,1.0,0.75,0.25,Normal
0.3333,0.2667,0.3333,1.0,0.25,0.75,Waspada
0.0,0.08,0.0,0.5,0.75,0.5,Normal
0.3333,0.0267,0.0,0.5,0.25,0.5,Normal
1.0,0.08,0.0,1.0,1.0,0.75,Normal
0.3333,0.0267,0.0,0.75,0.25,0.25,Normal
0.0,0.24,0.0,0.5,0.75,0.75,Waspada
0.3333,0.0,0.0,1.0,0.75,0.75,Normal
0.0,0.0,0.0,1.0,1.0,1.0,Waspada
0.3333,0.0,0.0,1.0,0.5,0.25,Normal
0.3333,0.0267,1.0,0.5,0.75,0.25,Normal
0.0,0.0,0.6667,0.5,0.5,0.5,Normal
0.0,0.1067,0.0,0.5,1.0,1.0,Waspada
0.6667,0.0,0.6667,0.75,0.25,0.25,Normal
0.0,0.0,0.0,0.75,0.5,0.5,Normal
0.0,0.16,0.0,0.5,0.75,0.75,Normal
0.0,0.2133,0.0,0.5,0.25,0.0,Waspada
0.3333,0.0,0.0,1.0,0.5,0.5,Normal
0.6667,0.0,0.0,0.75,0.5,0.5,Normal
0.3333,0.0,0.0,1.0,0.75,1.0,Waspada
0.0,0.0,0.6667,0.75,0.5,0.25,Normal
0.3333,0.0,0.3333,0.75,0.75,0.75,Normal
0.0,0.0,0.0,0.75,0.5,0.25,Normal
1.0,0.0,0.0,0.25,0.25,0.25,Normal
0.0,0.1067,0.6667,0.25,0.5,0.5,Normal
0.6667,0.0267,0.0,0.75,0.25,0.25,Normal
0.0,0.0267,0.0,0.5,0.75,0.75,Waspada
0.0,0.0,1.0,1.0,0.75,1.0,Normal
0.3333,0.0,0.0,0.75,0.75,0.25,Normal
0.3333,0.0,1.0,0.5,0.5,0.25,Normal
0.3333,0.0267,0.0,0.75,0.5,0.25,Normal
0.0,0.0,0.0,0.5,0.5,0.25,Normal
0.0,0.0,1.0,0.75,1.0,1.0,Waspada
0.0,0.0,1.0,0.25,0.5,1.0,Waspada
0.0,0.08,0.3333,0.75,0.75,0.75,Bahaya
0.6667,0.1067,0.6667,0.75,0.25,0.0,Waspada
0.0,0.0,1.0,0.75,1.0,0.75,Normal
0.0,0.0,0.0,0.75,0.25,0.0,Normal
0.3333,0.0267,0.0,0.75,0.75,0.75,Normal
0.0,0.1067,0.0,0.25,0.25,0.25,Waspada
0.0,0.08,1.0,1.0,0.25,1.0,Waspada
0.0,0.0267,0.0,0.75,0.25,0.25,Normal
0.3333,0.0533,0.3333,0.75,1.0,1.0,Bahaya
0.0,0.0,0.6667,0.5,0.5,0.25,Normal
0.3333,0.08,0.6667,0.75,0.75,0.75,Waspada
0.0,0.0,0.3333,0.75,0.75,0.75,Waspada
0.0,0.0267,0.0,1.0,0.5,0.5,Waspada
0.3333,0.0,1.0,1.0,0.5,1.0,Waspada
0.0,0.2133,0.3333,0.75,1.0,0.25,Normal
0.3333,0.0533,0.0,0.75,0.5,1.0,Waspada
0.3333,0.0,0.0,0.75,0.25,0.5,Normal
0.3333,0.0,0.0,1.0,0.0,1.0,Normal
0.3333,0.0,0.0,0.75,0.75,0.25,Normal
0.0,0.0,0.6667,0.5,0.75,1.0,Waspada
0.3333,0.0267,0.0,0.75,0.5,0.25,Normal
0.3333,0.0,0.0,0.75,0.75,0.75,Normal
0.3333,0.0,1.0,0.75,0.5,1.0,Normal
0.3333,0.0533,0.0,0.75,0.75,1.0,Normal
0.3333,0.0533,0.0,0.75,0.75,0.75,Bahaya
0.3333,0.0267,0.0,0.5,0.75,0.75,Waspada
0.3333,0.0533,0.0,0.75,0.5,0.75,Waspada
0.0,0.1333,0.0,0.75,0.5,0.5,Waspada
0.3333,0.0533,0.0,1.0,0.25,0.5,Normal
0.3333,0.1333,0.0,0.5,0.75,0.5,Waspada
0.3333,0.0267,0.0,0.75,0.25,0.5,Normal
0.3333,0.0,0.0,1.0,0.75,0.25,Waspada
0.3333,0.7467,0.0,1.0,0.5,0.5,Waspada
0.3333,0.1867,0.0,0.0,0.25,0.25,Normal
0.3333,0.16,0.0,0.75,0.5,0.75,Waspada
0.0,0.0267,0.0,0.5,0.5,0.5,Normal
0.3333,0.0,0.0,0.75,0.25,0.5,Normal
0.3333,0.08,0.0,0.5,0.5,0.5,Normal
0.3333,0.0533,0.0,0.5,0.0,0.5,Waspada
0.3333,0.1333,0.0,0.75,0.5,0.5,Normal
0.3333,0.0,0.0,1.0,0.5,0.5,Normal
0.3333,0.16,0.0,0.75,0.75,0.75,Bahaya
0.0,0.1067,0.0,0.75,0.5,0.25,Waspada
0.0,0.0,0.0,1.0,0.5,0.5,Normal
0.3333,0.0,0.0,0.75,0.5,0.25,Normal
0.0,0.0533,0.0,1.0,0.25,0.5,Normal
0.0,0.1067,0.0,0.5,0.5,0.75,Bahaya
0.0,0.32,0.3333,0.75,0.25,0.75,Waspada
0.3333,0.0,0.0,0.75,1.0,0.25,Normal
0.3333,0.0267,0.0,0.75,0.5,1.0,Waspada
0.3333,0.08,0.0,0.75,0.75,0.5,Normal
0.3333,0.0533,0.0,0.75,0.75,0.75,Normal
0.0,0.24,0.0,1.0,0.5,0.25,Normal
1.0,0.08,0.0,1.0,0.5,1.0,Normal
0.6667,0.3733,0.3333,0.75,0.75,0.5,Waspada
0.3333,0.0667,1.0,0.25,0.5,0.5,Normal
0.3333,0.1333,0.0,0.0,0.5,0.25,Normal
0.0,0.08,0.0,0.75,0.5,0.25,Waspada
0.6667,0.08,0.0,0.75,0.75,0.25,Normal
1.0,0.1333,0.0,0.75,0.5,0.5,Normal
0.3333,0.1733,0.0,1.0,0.5,1.0,Bahaya
0.3333,0.0,0.0,0.5,0.5,0.75,Normal
0.3333,0.2,0.3333,0.75,0.75,0.75,Waspada
0.0,0.16,0.0,1.0,0.25,0.0,Normal
0.3333,0.0267,0.0,0.75,0.75,0.75,Normal
0.3333,0.2933,0.6667,0.5,0.75,1.0,Waspada
0.3333,0.1733,0.3333,0.5,0.25,0.75,Waspada
0.0,0.04,0.0,0.5,0.5,0.5,Waspada
0.6667,0.0533,0.0,0.75,0.5,0.5,Normal
0.3333,0.0267,0.0,0.75,0.25,1.0,Normal
0.6667,0.0,0.3333,0.75,0.5,0.75,Normal
0.3333,0.0267,0.0,0.25,0.5,0.0,Normal
0.3333,0.0,0.0,0.5,0.5,0.5,Bahaya
0.6667,0.0,0.0,1.0,0.5,0.25,Normal
0.3333,0.2133,0.3333,1.0,0.5,0.5,Normal
0.3333,0.1333,0.0,1.0,0.5,0.75,Normal
0.3333,0.0267,0.0,1.0,0.5,0.5,Normal
