studytime,absences,failures,famrel,freetime,goout,decision
Rendah,Sedang,Tidak,Baik,Sedang,Sedang,Normal
Rendah,Sedikit,Tidak,Sangat Baik,Sedang,Sedang,Normal
Rendah,Sedang,Banyak,Baik,Sedang,Jarang,Waspada
Sedang,Sedikit,Tidak,Baik,Rendah,Jarang,Normal
Rendah,Sedikit,Tidak,Baik,Sedang,Jarang,Normal
Rendah,Sedang,Tidak,Sangat Baik,Sedang,Jarang,Normal
Rendah,Sedikit,Tidak,Baik,Sedang,Sedang,Normal
Rendah,Sedang,Tidak,Baik,Rendah,Sedang,Normal
Rendah,Sedikit,Tidak,Baik,Rendah,Jarang,Normal
Rendah,Sedikit,Tidak,Sangat Baik,Tinggi,Jarang,Normal
Rendah,Sedikit,Tidak,Baik,Sedang,Sedang,Normal
Sedang,Sedikit,Tidak,Sangat Baik,Rendah,Jarang,Normal
Rendah,Sedikit,Tidak,Baik,Sedang,Sedang,Normal
Rendah,Sedikit,Tidak,Sangat Baik,Sedang,Sedang,Normal
Sedang,Sedikit,Tidak,Baik,Tinggi,Jarang,Normal
Rendah,Sedikit,Tidak,Baik,Sedang,Sedang,Normal
Sedang,Sedang,Tidak,Baik,Rendah,Sedang,Normal
Rendah,Sedikit,Tidak,Sangat Baik,Sedang,Jarang,Normal
Rendah,Banyak,Banyak,Sangat Baik,Tinggi,Sering,Waspada
Rendah,Sedikit,Tidak,Baik,Rendah,Sedang,Normal
Rendah,Sedikit,Tidak,Baik,Sedang,Jarang,Normal
Rendah,Sedikit,Tidak,Sangat Baik,Sedang,Jarang,Normal
Rendah,Sedikit,Tidak,Baik,Tinggi,Jarang,Normal
Rendah,Sedikit,Tidak,Sangat Baik,Sedang,Sedang,Waspada
Sedang,Sedikit,Tidak,Baik,Sedang,Jarang,Normal
Rendah,Sedang,Sedikit,Buruk,Rendah,Jarang,Normal
Rendah,Sedikit,Tidak,Baik,Rendah,Jarang,Normal
Rendah,Sedikit,Tidak,Buruk,Rendah,Sedang,Waspada
